2025-05	2025-06	2025-07	2025-08	2025-09	2025-10	2025-11	2024-07	2024-08	2024-09	2024-10	2024-11	2024-12	2025-01	2025-02	2025-03	2025-04
Theor.	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.
B-ER5002	6.050 €	2.700 €	3.350 €	1082	400 €	-	816	150 €	250 €	1080	250 €	150 €	1038	-	400 €	573	-	250 €	724	150 €	250 €	818	400 €	-	307	-	250 €	520	-	250 €	1030	-	400 €	816	-	400 €	679	-	250 €	822	-	400 €	568	550 €	-300 €	1101	-	400 €	1270	400 €	-	1251	400 €	-
B-ER5502	6.050 €	1.800 €	4.250 €	1339	400 €	-	810	400 €	-	1129	-	400 €	768	-	400 €	1010	-	400 €	667	150 €	100 €	979	150 €	250 €	943	-	400 €	925	-	400 €	824	-	400 €	697	-	250 €	588	-	250 €	536	-	250 €	839	300 €	100 €	849	250 €	150 €	636	150 €	100 €	946	-	400 €
B-ER6002	6.350 €	2.300 €	4.050 €	1009	400 €	-	597	150 €	100 €	904	-	400 €	1245	-	400 €	1171	-	400 €	1255	400 €	-	1056	150 €	250 €	335	-	250 €	909	-	400 €	972	-	400 €	950	-	400 €	1066	-	400 €	1027	-	400 €	636	400 €	-150 €	1212	-	400 €	863	400 €	-	911	400 €	-
B-ER8002	5.400 €	3.100 €	2.300 €	1223	400 €	-	1100	400 €	-	1041	-	400 €	591	-	250 €	934	-	400 €	960	400 €	-	907	150 €	250 €	642	-	250 €	417	-	250 €	86	-	-	183	-	-	966	-	400 €	1581	-	400 €	1344	800 €	-400 €	627	150 €	100 €	1102	400 €	-	954	400 €	-
B-SF1095	2.250 €	0 €	2.250 €	-	-	-	553	-	250 €	776	-	400 €	1300	-	400 €	1305	-	400 €	1308	-	400 €	1002	-	400 €	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
B-SF1138	400 €	0 €	400 €	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	152	-	-	1025	-	400 €	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
B-SF1146	1.550 €	0 €	1.550 €	-	-	-	-	-	-	319	-	250 €	705	-	400 €	815	-	400 €	658	-	250 €	687	-	250 €	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
B-TH597	3.300 €	0 €	3.300 €	596	-	250 €	609	-	250 €	527	-	250 €	530	-	250 €	598	-	250 €	519	-	250 €	529	-	250 €	-	-	-	-	-	-	-	-	-	-	-	-	300	-	250 €	504	-	250 €	617	-	250 €	200	-	-	710	-	400 €	743	-	400 €
B-VZ5000	6.500 €	2.700 €	3.800 €	937	-	400 €	256	-	250 €	1171	-	400 €	843	-	400 €	302	-	250 €	1120	400 €	-	765	150 €	250 €	921	-	400 €	1115	-	400 €	1241	-	400 €	1037	-	400 €	1101	-	400 €	952	-	400 €	1063	1.200 €	-800 €	874	400 €	-	1011	400 €	-	734	150 €	250 €
gesamt	94.350 €	31.650 €	62.700 €	5.700 €	4.400 €	1.300 €	5.750 €	3.050 €	2.700 €	6.050 €	750 €	5.300 €	6.600 €	0 €	6.600 €	6.050 €	0 €	6.050 €	5.800 €	4.050 €	1.750 €	6.850 €	1.900 €	4.950 €	4.700 €	0 €	4.700 €	5.000 €	0 €	5.000 €	5.050 €	0 €	5.050 €	4.900 €	0 €	4.900 €	5.550 €	0 €	5.550 €	5.400 €	0 €	5.400 €	4.950 €	8.700 €	-3.750 €	5.150 €	1.500 €	3.650 €	5.300 €	4.200 €	1.100 €	5.550 €	3.100 €	2.450 €
